index,celebid,pid,letter1,letter2,letter3,letter4,letter5,totalvotes
226610,266857,8,M,e,o,m,i,1
226611,303308,8,M,e,o,l,e,1
226612,315963,8,M,e,o,m,i,1
226613,456268,8,M,e,o,m,i,1
226614,517595,8,P,h,o,m,i,1
226615,528886,8,C,h,o,m,i,1
226616,556878,8,S,a,l,a,n,1
226617,599086,8,P,h,o,m,i,3
226618,331805,8,P,h,l,a,n,1
226619,390565,8,C,h,l,e,g,1
226620,399692,8,C,h,n,g,u,1
226621,437594,8,P,h,o,l,e,1
226622,450482,8,C,h,n,g,u,1
226623,450485,8,P,h,o,l,e,1
226624,494393,8,C,h,o,m,i,1
226625,513892,8,C,h,l,e,g,1
226626,603103,8,P,h,o,l,e,1
226627,751363,8,C,h,o,m,i,2
226628,541069,8,S,a,l,a,n,1
226629,834704,8,C,h,l,a,n,1
226630,3850,8,M,e,o,l,e,93
226631,24979,8,S,a,o,l,e,39
226632,41437,8,C,h,o,m,i,58
226633,27398,8,C,h,l,a,n,43
226634,179741,8,P,h,o,m,i,32
226635,42972,8,P,h,l,a,n,9
226636,107868,8,P,h,o,m,i,1
226637,33681,8,P,h,o,l,e,5
226638,30699,8,C,h,l,a,n,3
226639,231132,8,M,e,o,m,i,5
226640,130444,8,C,h,l,a,n,5
226641,42968,8,C,h,n,g,u,4
226642,102584,8,C,h,l,e,g,3
226643,39822,8,S,a,l,e,g,2
226644,74294,8,C,h,l,e,g,3
226645,91813,8,C,h,o,m,i,5
226646,42354,8,C,h,n,g,u,3
226647,42970,8,S,a,o,m,i,2
226648,251814,8,C,h,l,a,n,4
226649,41820,8,P,h,o,l,e,2
226650,42969,8,M,e,o,m,i,5
226651,110122,8,P,h,n,g,u,2
226652,42967,8,C,h,l,e,g,4
226653,74349,8,P,h,o,m,i,2
226654,251816,8,C,h,o,m,i,4
226655,49413,8,C,h,l,a,n,3
226656,74353,8,C,h,o,m,i,1
226657,190840,8,C,h,o,m,i,2
226658,569700,8,C,h,l,a,n,4
226659,109041,8,P,h,n,g,u,1
226660,132971,8,S,a,o,m,i,5
226661,139605,8,M,e,o,m,i,2
226662,168644,8,C,h,o,m,i,1
226663,170603,8,C,h,l,a,n,13
226664,49043,8,C,h,l,a,n,1
226665,129125,8,S,a,o,l,e,4
226666,254928,8,S,a,o,m,i,1
226667,50360,8,M,e,l,e,g,1
226668,177998,8,C,h,o,m,i,1
226669,223633,8,S,a,l,a,n,2
226670,251815,8,P,h,o,m,i,2
226671,257082,8,C,h,o,m,i,3
226672,102582,8,P,h,o,m,i,1
226673,156611,8,P,h,o,m,i,1
226674,350655,8,S,a,o,l,e,1
226675,535625,8,M,e,o,m,i,2
226676,541790,8,S,a,o,l,e,1
226677,152509,8,M,e,o,m,i,1
226678,346312,8,M,e,o,m,i,2
226679,982652,8,C,h,n,g,u,1
226680,246224,8,C,h,o,m,i,1
226681,302102,8,S,a,l,e,g,1
226682,302108,8,C,h,l,a,n,1
226683,367946,8,M,e,l,e,g,1
226684,428878,8,M,e,l,e,g,1
226685,539580,8,C,h,l,e,g,1
226686,1035159,8,P,h,l,a,n,1
226687,931032,8,C,h,o,m,i,1
226688,308,8,C,h,o,m,i,91
226689,39537,8,S,a,o,l,e,8
226690,46865,8,S,a,o,l,e,7
226691,41104,8,M,e,o,m,i,8
226692,44031,8,C,h,l,a,n,2
226693,36933,8,C,h,o,m,i,5
226694,46837,8,C,h,o,m,i,4
226695,46858,8,S,a,o,l,e,4
226696,40521,8,C,h,l,a,n,5
226697,146453,8,C,h,l,a,n,15
226698,58007,8,C,h,n,g,u,3
226699,58243,8,C,h,l,e,g,3
226700,202660,8,S,a,o,m,i,8
226701,22161,8,C,h,l,a,n,1
226702,141600,8,M,e,o,l,e,6
226703,37058,8,C,h,l,e,g,1
226704,34508,8,M,e,o,m,i,6
226705,43496,8,C,h,n,g,u,2
226706,46866,8,M,e,o,m,i,5
226707,130953,8,C,h,o,m,i,1
226708,174962,8,P,h,o,m,i,3
