index,celebid,pid,letter1,letter2,letter3,letter4,letter5,totalvotes
164909,27901,6,E,I,E,,,4
164910,8006,6,I,L,E,,,4
164911,20401,6,E,I,I,,,6
164912,39761,6,E,S,E,,,2
164913,54847,6,E,S,E,,,2
164914,138905,6,E,I,E,,,2
164915,171031,6,L,S,E,,,4
164916,13916,6,L,S,E,,,4
164917,28476,6,L,I,E,,,9
164918,95281,6,I,E,E,,,2
164919,18710,6,I,L,E,,,5
164920,20286,6,E,S,E,,,4
164921,26795,6,E,I,E,,,6
164922,40348,6,E,S,E,,,3
164923,36253,6,I,E,E,,,1
164924,36887,6,S,L,I,,,8
164925,9893,6,E,I,E,,,7
164926,15798,6,S,L,E,,,9
164927,25886,6,I,L,E,,,2
164928,34161,6,E,S,I,,,2
164929,40321,6,S,L,I,,,6
164930,65030,6,I,L,E,,,5
164931,551222,6,E,I,I,,,3
164932,10025,6,E,I,E,,,4
