id,classic_jungian,classic_jungian_total_voted
610445,EF(S),1
653420,EN(F),1
752366,IT(N),1
988657,IS(T),1
1016935,IF(S),1
1025379,IT(N),1
1025393,ES(F),1
1072191,EN(F),1
46,ET(S),13
47,EF(S),11
48,ES(T),22
1519,ES(T),7
9917,IF(S),1
8729,IS(T),5
464,ES(T),5
465,EN(T),2
33664,EN(F),4
50,ET(N),1
17655,IF(S),4
15852,IN(F),2
75633,IF(S),2
15848,IN(F),1
8730,ES(F),3
49,EF(N),2
2168,IS(T),4
35749,ET(S),4
27744,IF(N),1
15849,IN(T),1
22048,EF(S),2
2173,IF(S),1
27082,IT(S),2
48967,IT(S),1
184021,EN(T),1
683,ES(F),1
34413,EN(T),1
8806,IT(S),1
35137,EF(S),2
60462,IT(S),1
9114,ET(S),1
178632,IN(F),3
179812,ES(F),1
75647,ES(T),1
27060,IF(S),1
2175,IN(F),1
75630,IF(S),1
191350,EF(S),1
97928,IF(S),1
75660,IF(N),1
214541,ES(F),4
27409,IF(S),1
75635,IF(S),1
97930,IF(S),1
53927,EF(N),1
15855,EF(N),1
75637,IS(F),1
121769,IF(S),1
183711,IS(T),2
64934,IT(S),1
92874,IS(T),1
99843,IS(F),1
92873,ES(F),1
150618,ES(F),1
74646,IS(F),1
205322,IN(F),1
434153,ES(F),2
76541,ET(S),1
213575,IS(T),1
159870,IS(F),1
209596,IS(T),1
244290,ET(S),1
364686,IS(F),1
98944,ES(F),1
342442,EN(F),1
182110,ES(F),1
206460,ES(F),1
240972,IF(S),1
342484,IS(T),1
198494,IT(S),1
233779,IT(S),1
240131,IS(F),1
264739,EN(F),1
285788,ES(F),1
342425,ES(F),1
342439,EF(S),1
342451,IS(T),1
393449,EN(F),1
434154,IS(T),1
342446,EN(T),1
342486,IS(F),1
371595,IS(F),1
414538,ES(F),1
573948,IT(N),1
414123,IN(T),1
964371,ES(T),1
964414,IF(S),1
342445,ES(T),1
414632,ES(F),1
414657,ES(T),1
414683,IS(T),1
414982,IN(T),1
419216,IS(T),1
513947,IS(T),1
44,ES(F),83
8828,EF(S),27
45,IF(S),63
25003,ES(T),34
1585,ES(T),17
8823,EN(T),8
11078,ES(F),12
362447,IT(S),18
2861,EN(T),5
294109,ET(N),21
108122,IS(T),15
10795,IN(T),10
88493,IN(T),6
9459,ET(N),13
15255,ES(T),5
11085,IS(T),8
59945,IN(T),6
24543,EN(F),8
11079,ES(T),10
290043,EF(N),8
10627,ES(F),4
382,IS(F),4
354237,IN(T),14
18057,IS(T),1
12662,IN(F),5
355587,ES(T),9
15382,ES(T),9
23313,IF(S),4
13357,IT(S),3
6495,ET(N),8
11084,IT(S),2
211513,IN(F),4
3308,IF(N),4
35058,ET(S),3
6749,IT(S),4
42232,IS(F),2
148434,ES(T),1
503423,IS(F),5
547627,IS(F),2
11582,IF(S),3
87757,IT(S),5
153077,IF(S),3
38880,IF(N),3
410186,IS(F),2
326533,IN(T),5
60909,IN(T),4
169233,IT(S),1
6501,IS(T),4
206667,ES(F),1
76145,EF(S),3
64121,IF(S),2
206669,ES(F),2
72942,IT(S),3
98947,IF(S),2
68629,IN(T),2
67505,ET(S),1
431240,ET(N),2
35560,ES(F),3
629706,ET(S),3
76135,IS(F),1
18064,ET(S),5
129088,IN(T),6
26360,IF(N),3
76142,IS(F),1
477952,IN(T),3
671577,IT(S),7
29452,IS(T),2
118226,ET(N),1
48442,ET(S),2
175187,IS(F),1
381,IT(S),1
76146,IT(S),6
47299,IF(S),1
54537,IF(S),2
18582,EF(N),1
102805,ES(F),4
339847,ET(S),1
47461,IS(F),1
148251,IT(S),1
18051,ET(N),1
6493,IS(T),2
53035,IF(S),1
57359,IN(T),3
76144,IS(T),1
155635,ET(S),2
13719,IF(S),2
49069,IN(T),2
60899,IS(T),1
174363,ES(T),5
94879,ET(S),1
102806,EF(N),1
132038,EF(S),2
38879,ES(F),1
32735,EF(S),1
35555,ES(T),2
273970,ES(T),1
302156,IF(S),1
616600,EN(T),5
11086,IN(T),2
65573,ES(F),3
27853,ES(F),1
148406,IF(N),2
65543,IF(S),1
106383,EN(F),2
47463,IN(F),3
